g_event_id,sid,time,r_dow,r_hod,a_er_cat,a_app_id,a_campaign_type_id,a_camp_id,a_group_id,r_source_id,c_id,r_site_id,r_site_iab_cats,r_country_id,r_region_code,r_platform,r_network_type,r_traffic_type,c_type,c_cta,c_text,c_size,s_gerry_type,s_caesar_id,response
-4,0,1568674088.068,0,22,2,1852,2,6568,15851,74,6390046,28187327,9,237,IA,ANDROID,wifi,app,HTML,Watch Now,"Stream the latest episodes, for free!",3200050,,,1
-4,0,1568674148.489,0,22,0,2154,2,25170,25170,253,6385048,28633508,24,32,,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568674179.266,0,22,3,2464,2,25692,27245,253,6391858,28111895,9,32,,ANDROID,cellular,app,IMAGE,,,3200480,,,0
-4,0,1568674185.786,0,22,0,2154,2,25170,25170,69,6385050,26944718,"1,1,14",32,21,ANDROID,wifi,app,NATIVE,Contrate já,Finalize agora a contratação do seu cartão de crédito,0,,,0
-4,0,1568674197.793,0,22,0,1999,2,25662,27118,253,6374246,28588222,,32,15,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568674222.153,0,22,0,1061,2,25401,26103,69,6381854,27459947,"7,9,9",106,04,ANDROID,cellular,app,HTML,Pesan Sekarang,Cari menu lokal kini lebih mudah dengan GrabFood,3200480,3,,0
-4,0,1568674237.99,0,22,0,930,2,25482,26577,253,6379442,28582714,24,32,02,ANDROID,wifi,app,HTML,ABRIR O APP,,3200480,,,0
-4,0,1568674257.721,0,22,0,2154,2,25170,25170,253,6385048,25812205,19,32,27,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568674328.002,0,22,0,2154,2,25171,25171,69,6390559,26976051,"3,9,9",32,27,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568674381.209,0,22,0,535,2,25224,26337,253,6389678,28244645,24,49,34,ANDROID,cellular,app,IMAGE,,,4800320,,,0
-4,0,1568674400.775,0,22,0,1487,2,25356,26721,69,6374875,27873948,"1,1,9,9",32,27,ANDROID,wifi,app,IMAGE,,,3200480,2,,0
-4,0,1568674468.965,0,22,0,930,2,25482,26490,74,6379441,28120951,14,32,26,ANDROID,wifi,app,HTML,ABRIR O APP,,3000250,,,0
-4,0,1568674487.948,0,22,0,2154,2,25170,25170,253,6385047,28147009,9,32,21,ANDROID,wifi,app,IMAGE,,,3200050,,,0
-4,0,1568674520.567,0,22,0,2247,2,6618,14617,253,6379084,26975748,9,32,27,ANDROID,wifi,app,IMAGE,,,3200480,,,0
